word,count
based,4901
film,3765
love,3607
life,3110
relationship,3033
one,2960
story,2952
new,2920
woman,2831
war,2701
world,2685
family,2682
young,2190
book,2147
man,2114
novel,2095
school,1965
director,1887
two,1676
time,1591
child,1531
short,1482
comedy,1458
true,1449
death,1370
mother,1365
first,1352
documentary,1345
father,1340
murder,1328
live,1302
police,1273
music,1265
city,1244
musical,1212
girl,1181
friendship,1179
years,1155
son,1092
high,1064
friends,1050
find,1033
wife,1027
biography,1005
concert,1004
daughter,1000
black,950
movie,947
anime,929
american,905
old,890
get,887
day,858
lives,856
must,843
christmas,843
town,843
york,839
people,827
century,827
prison,822
home,820
rock,820
boy,816
three,814
finds,806
small,803
japan,791
history,785
back,774
take,767
sports,748
social,747
takes,745
france,742
age,742
husband,739
gay,730
friend,722
marriage,720
way,718
lgbt,703
white,678
group,670
fight,665
make,662
journey,661
coming,659
secret,659
also,657
crime,654
become,650
becomes,649
gang,649
help,643
teenage,642
village,634
best,626
series,625
show,620
power,619
revenge,618
money,613
play,609
drug,605
never,598
romance,597
set,592
work,592
brother,592
house,590
little,586
england,585
cartoon,579
space,578
teacher,576
dog,559
human,555
loss,554
female,553
together,553
paris,552
car,550
magic,548
gets,546
team,542
battle,541
army,538
meets,538
political,534
parent,533
dark,531
band,521
like,521
behind,517
california,512
children,512
abuse,511
suicide,510
place,507
even,505
mysterious,500
comes,498
french,498
however,498
travel,494
animation,493
detective,491
dream,488
soon,484
drama,484
road,483
student,480
investigation,479
childhood,478
star,478
around,474
italy,474
falls,471
theme,470
past,468
adult,468
south,468
future,467
night,466
game,466
identity,464
year,464
sister,464
special,462
last,462
living,461
killer,460
superhero,460
lost,459
artist,459
escape,457
wrestling,456
great,455
animal,455
begins,451
save,450
every,448
goes,447
business,446
performance,443
country,441
men,440
end,440
come,438
hero,437
military,435
video,435
japanese,435
big,435
decides,434
island,430
class,428
former,426
london,426
sexual,426
british,424
many,423
ever,420
stop,417
comic,415
women,415
making,415
alien,409
tale,406
trip,403
art,402
tries,402
male,400
long,398
singer,397
couple,394
los,394
nazi,392
event,392
race,390
football,388
street,388
single,387
holiday,387
face,386
politics,386
martial,385
footage,384
rape,382
nature,379
named,378
criminal,377
another,375
look,374
job,373
away,373
discovers,371
order,370
forced,370
manga,370
tells,370
real,367
arts,367
king,364
meet,361
train,358
four,357
yearold,357
dead,357
stage,354
heart,353
doctor,352
evil,350
mission,348
beautiful,348
everything,346
loved,346
summer,345
whose,344
angeles,343
change,343
search,342
soldier,341
part,340
made,336
local,335
wants,334
silent,333
relationships,327
good,327
germany,326
cinema,326
parents,325
days,325
mental,325
attempt,324
follows,324
wedding,322
sibling,322
working,321
sequel,320
party,320
see,320
usa,320
dance,319
german,319
different,319
match,318
run,318
pop,317
wwe,315
action,313
well,313
along,312
things,312
noir,312
left,311
may,311
career,311
mexico,311
monster,310
dreams,310
events,310
tour,309
married,309
second,309
violence,309
returns,307
return,307
personal,307
makes,306
college,305
later,305
standup,305
turn,304
th,303
gangster,303
civil,302
john,302
know,302
famous,301
including,301
turns,301
still,299
kidnapping,299
ii,298
affair,298
china,297
hospital,296
robbery,294
officer,293
korea,293
fall,293
found,292
super,291
italian,291
illness,290
drugs,290
rescue,289
bank,289
society,288
agent,287
teen,285
chance,285
conflict,284
cat,282
corruption,282
rural,282
crisis,281
historical,281
accident,280
court,280
without,279
case,279
try,279
lawyer,278
person,278
fairy,278
adventure,278
across,276
discover,276
since,276
romantic,275
horror,275
writer,273
much,272
camp,271
government,270
remake,270
culture,269
keep,269
stories,269
mountain,268
sea,268
known,268
mystery,267
greatest,266
interviews,266
justice,266
period,265
trying,264
dying,264
starts,264
epic,263
ship,262
sex,262
mafia,261
portrait,261
five,261
soccer,257
missing,257
duringcreditsstinger,256
tragic,256
revolution,254
ghost,254
championship,254
sets,254
russian,253
theater,253
finally,252
start,251
boys,250
powerful,248
body,247
tragedy,247
middle,247
going,246
motion,245
hotel,245
bring,245
memory,245
food,244
musician,244
lead,244
us,243
surrealism,243
leads,243
put,242
called,242
survival,241
girlfriend,241
giant,241
teenager,241
cop,241
universe,240
neighbor,240
serial,240
filmed,240
older,240
protagonist,240
reality,240
hope,238
horse,238
girls,238
korean,238
land,237
legendary,237
supernatural,236
hollywood,236
final,236
united,235
nothing,234
took,234
national,233
gun,233
always,232
driver,232
unexpected,231
satire,231
next,230
north,230
journalist,229
younger,228
actor,228
worker,228
earth,227
fighting,227
sent,227
upon,227
interview,226
samurai,226
religion,225
royal,225
prostitute,224
taking,223
rise,223
station,223
planet,223
plan,223
post,223
struggle,222
truth,222
decide,221
care,221
late,219
youth,219
works,219
seems,218
desert,218
trial,217
scenes,217
attack,217
princess,217
right,217
sword,216
shows,216
wealthy,215
something,215
album,214
chinese,214
poor,214
nuclear,213
learn,213
aftercreditsstinger,212
leaves,212
company,212
bad,211
private,211
church,211
